ShipType,UnitNumber,Length,Width,Height,Thickness,BoxVolume,ProductVolume
Box,B000001,0.100000,0.100000,0.100000,0.000000,0.001000000,0.001000000
Box,B000002,0.100000,0.100000,0.200000,0.000000,0.002000000,0.002000000
Box,B000003,0.100000,0.100000,0.300000,0.000000,0.003000000,0.003000000
Box,B000004,0.100000,0.100000,0.300000,0.400000,0.003000000,0.001000000
Box,B000005,0.100000,0.100000,0.400000,0.000000,0.004000000,0.004000000
Box,B000006,0.100000,0.100000,0.400000,0.400000,0.004000000,0.002000000
Box,B000007,0.100000,0.100000,0.400000,0.600000,0.004000000,0.004000000
Box,B000008,0.100000,0.100000,0.500000,0.000000,0.005000000,0.005000000
Box,B000009,0.100000,0.100000,0.500000,0.400000,0.005000000,0.003000000
Box,B000010,0.100000,0.100000,0.500000,0.600000,0.005000000,0.008000000
Box,B000011,0.100000,0.100000,0.500000,0.800000,0.005000000,0.009000000
Box,B000012,0.100000,0.100000,0.600000,0.000000,0.006000000,0.006000000
Box,B000013,0.100000,0.100000,0.600000,0.400000,0.006000000,0.004000000
Box,B000014,0.100000,0.100000,0.600000,0.600000,0.006000000,0.012000000
Box,B000015,0.100000,0.100000,0.600000,0.800000,0.006000000,0.018000000
Box,B000016,0.100000,0.100000,0.600000,1.000000,0.006000000,0.016000000
Box,B000017,0.100000,0.100000,0.700000,0.000000,0.007000000,0.007000000
Box,B000018,0.100000,0.100000,0.700000,0.400000,0.007000000,0.005000000
Box,B000019,0.100000,0.100000,0.700000,0.600000,0.007000000,0.016000000
Box,B000020,0.100000,0.100000,0.700000,0.800000,0.007000000,0.027000000
Box,B000021,0.100000,0.100000,0.700000,1.000000,0.007000000,0.032000000
Box,B000022,0.100000,0.100000,0.800000,0.000000,0.008000000,0.008000000
Box,B000023,0.100000,0.100000,0.800000,0.400000,0.008000000,0.006000000
Box,B000024,0.100000,0.100000,0.800000,0.600000,0.008000000,0.020000000
Box,B000025,0.100000,0.100000,0.800000,0.800000,0.008000000,0.036000000
Box,B000026,0.100000,0.100000,0.800000,1.000000,0.008000000,0.048000000
Box,B000027,0.100000,0.100000,0.900000,0.000000,0.009000000,0.009000000
Box,B000028,0.100000,0.100000,0.900000,0.400000,0.009000000,0.007000000
Box,B000029,0.100000,0.100000,0.900000,0.600000,0.009000000,0.024000000
Box,B000030,0.100000,0.100000,0.900000,0.800000,0.009000000,0.045000000
Box,B000031,0.100000,0.100000,0.900000,1.000000,0.009000000,0.064000000
Box,B000032,0.100000,0.100000,1.000000,0.000000,0.010000000,0.010000000
Box,B000033,0.100000,0.100000,1.000000,0.400000,0.010000000,0.008000000
Box,B000034,0.100000,0.100000,1.000000,0.600000,0.010000000,0.028000000
Box,B000035,0.100000,0.100000,1.000000,0.800000,0.010000000,0.054000000
Box,B000036,0.100000,0.100000,1.000000,1.000000,0.010000000,0.080000000
Box,B000037,0.100000,0.100000,1.100000,0.000000,0.011000000,0.011000000
Box,B000038,0.100000,0.100000,1.100000,0.400000,0.011000000,0.009000000
Box,B000039,0.100000,0.100000,1.100000,0.600000,0.011000000,0.032000000
Box,B000040,0.100000,0.100000,1.100000,0.800000,0.011000000,0.063000000
Box,B000041,0.100000,0.100000,1.100000,1.000000,0.011000000,0.096000000
Box,B000042,0.100000,0.100000,1.200000,0.000000,0.012000000,0.012000000
Box,B000043,0.100000,0.100000,1.200000,0.400000,0.012000000,0.010000000
Box,B000044,0.100000,0.100000,1.200000,0.600000,0.012000000,0.036000000
Box,B000045,0.100000,0.100000,1.200000,0.800000,0.012000000,0.072000000
Box,B000046,0.100000,0.100000,1.200000,1.000000,0.012000000,0.112000000
Box,B000047,0.100000,0.100000,1.300000,0.000000,0.013000000,0.013000000
Box,B000048,0.100000,0.100000,1.300000,0.400000,0.013000000,0.011000000
Box,B000049,0.100000,0.100000,1.300000,0.600000,0.013000000,0.040000000
Box,B000050,0.100000,0.100000,1.300000,0.800000,0.013000000,0.081000000
Box,B000051,0.100000,0.100000,1.300000,1.000000,0.013000000,0.128000000
Box,B000052,0.100000,0.100000,1.400000,0.000000,0.014000000,0.014000000
Box,B000053,0.100000,0.100000,1.400000,0.400000,0.014000000,0.012000000
Box,B000054,0.100000,0.100000,1.400000,0.600000,0.014000000,0.044000000
Box,B000055,0.100000,0.100000,1.400000,0.800000,0.014000000,0.090000000
Box,B000056,0.100000,0.100000,1.400000,1.000000,0.014000000,0.144000000
Box,B000057,0.100000,0.100000,1.500000,0.000000,0.015000000,0.015000000
Box,B000058,0.100000,0.100000,1.500000,0.400000,0.015000000,0.013000000
Box,B000059,0.100000,0.100000,1.500000,0.600000,0.015000000,0.048000000
Box,B000060,0.100000,0.100000,1.500000,0.800000,0.015000000,0.099000000
Box,B000061,0.100000,0.100000,1.500000,1.000000,0.015000000,0.160000000
Box,B000062,0.100000,0.100000,1.600000,0.000000,0.016000000,0.016000000
Box,B000063,0.100000,0.100000,1.600000,0.400000,0.016000000,0.014000000
Box,B000064,0.100000,0.100000,1.600000,0.600000,0.016000000,0.052000000
Box,B000065,0.100000,0.100000,1.600000,0.800000,0.016000000,0.108000000
Box,B000066,0.100000,0.100000,1.600000,1.000000,0.016000000,0.176000000
Box,B000067,0.100000,0.100000,1.700000,0.000000,0.017000000,0.017000000
Box,B000068,0.100000,0.100000,1.700000,0.400000,0.017000000,0.015000000
Box,B000069,0.100000,0.100000,1.700000,0.600000,0.017000000,0.056000000
Box,B000070,0.100000,0.100000,1.700000,0.800000,0.017000000,0.117000000
Box,B000071,0.100000,0.100000,1.700000,1.000000,0.017000000,0.192000000
Box,B000072,0.100000,0.100000,1.800000,0.000000,0.018000000,0.018000000
Box,B000073,0.100000,0.100000,1.800000,0.400000,0.018000000,0.016000000
Box,B000074,0.100000,0.100000,1.800000,0.600000,0.018000000,0.060000000
Box,B000075,0.100000,0.100000,1.800000,0.800000,0.018000000,0.126000000
Box,B000076,0.100000,0.100000,1.800000,1.000000,0.018000000,0.208000000
Box,B000077,0.100000,0.100000,1.900000,0.000000,0.019000000,0.019000000
Box,B000078,0.100000,0.100000,1.900000,0.400000,0.019000000,0.017000000
Box,B000079,0.100000,0.100000,1.900000,0.600000,0.019000000,0.064000000
Box,B000080,0.100000,0.100000,1.900000,0.800000,0.019000000,0.135000000
Box,B000081,0.100000,0.100000,1.900000,1.000000,0.019000000,0.224000000
